season,driver,avg_lap_time,lap_time_stddev,total_laps
2025,SAI,90.7959472,13.06703734,1249
2025,COL,88.28948706,13.35202565,1050
2025,LAW,90.54117143,13.394066,1276
2025,HAD,90.14231555,13.45717944,1344
2025,ANT,91.19522463,13.45798229,1312
2025,BOR,90.75838519,13.49606415,1233
2025,OCO,91.00834635,13.58108836,1402
2025,ALB,92.04210861,13.66592352,1307
2025,VER,90.81641519,13.75996787,1375
2025,PIA,89.10582558,13.83784383,1394
2025,RUS,90.26219733,13.87955377,1442
2025,HAM,91.04956003,13.90568866,1360
2025,STR,91.15222573,13.90806228,1317
2025,LEC,90.82291567,13.90859345,1359
2025,ALO,90.99993468,13.93393142,1259
2025,TSU,90.97741533,14.026141,1386
2025,GAS,91.72218014,14.047208,1315
2025,HUL,91.59014027,14.06721035,1288
2025,NOR,89.65803043,14.10054756,1434
2025,BEA,91.13837712,14.11581707,1373
