Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Season,RoundNumber,RaceName
0 days 00:48:08.029000,15.2,83.0,1009.5,False,18.7,268,4.2,2025,1,Australian Grand Prix
0 days 00:49:08.033000,15.2,82.0,1009.4,False,18.7,277,4.1,2025,1,Australian Grand Prix
0 days 00:50:08.045000,15.2,81.0,1009.5,False,18.7,259,3.4,2025,1,Australian Grand Prix
0 days 00:51:08.030000,15.2,81.0,1009.5,False,18.7,276,3.6,2025,1,Australian Grand Prix
0 days 00:52:08.059000,15.1,80.0,1009.5,False,18.7,269,3.4,2025,1,Australian Grand Prix
0 days 00:53:08.035000,15.3,80.0,1009.6,False,18.7,273,2.7,2025,1,Australian Grand Prix
0 days 00:54:08.059000,15.3,79.0,1009.5,False,18.9,295,3.3,2025,1,Australian Grand Prix
0 days 00:55:08.093000,15.3,78.0,1009.4,False,18.9,285,2.1,2025,1,Australian Grand Prix
0 days 00:56:08.112000,15.4,76.0,1009.5,False,18.9,271,4.0,2025,1,Australian Grand Prix
0 days 00:57:08.109000,15.4,76.0,1009.5,False,18.9,256,3.7,2025,1,Australian Grand Prix
0 days 00:58:08.114000,15.4,74.0,1009.5,False,18.9,297,4.6,2025,1,Australian Grand Prix
0 days 00:59:08.095000,15.4,73.0,1009.5,False,18.9,275,4.1,2025,1,Australian Grand Prix
0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,2025,1,Australian Grand Prix
0 days 01:01:08.096000,15.5,73.0,1009.5,False,18.9,263,3.3,2025,1,Australian Grand Prix
0 days 01:02:08.134000,15.6,75.0,1009.5,False,19.0,281,2.0,2025,1,Australian Grand Prix
0 days 01:03:08.149000,15.6,74.0,1009.5,False,19.0,208,5.6,2025,1,Australian Grand Prix
0 days 01:04:08.148000,15.6,74.0,1009.6,False,19.0,249,3.6,2025,1,Australian Grand Prix
0 days 01:05:08.170000,15.6,74.0,1009.7,False,19.0,286,3.1,2025,1,Australian Grand Prix
0 days 01:06:08.155000,15.6,75.0,1009.8,False,19.0,254,4.3,2025,1,Australian Grand Prix
0 days 01:07:08.167000,15.6,74.0,1009.8,False,19.0,257,5.1,2025,1,Australian Grand Prix
0 days 01:08:08.178000,15.7,74.0,1009.8,False,19.0,230,5.6,2025,1,Australian Grand Prix
0 days 01:09:08.172000,15.8,73.0,1009.8,False,19.0,254,5.1,2025,1,Australian Grand Prix
0 days 01:10:08.185000,15.7,74.0,1009.8,False,19.0,257,3.8,2025,1,Australian Grand Prix
0 days 01:11:08.207000,15.7,74.0,1010.2,False,19.2,253,3.9,2025,1,Australian Grand Prix
0 days 01:12:08.186000,15.8,74.0,1010.0,False,19.2,268,3.5,2025,1,Australian Grand Prix
0 days 01:13:08.207000,15.8,75.0,1009.9,False,19.2,264,3.7,2025,1,Australian Grand Prix
0 days 01:14:08.204000,15.8,75.0,1010.0,True,19.2,251,5.2,2025,1,Australian Grand Prix
0 days 01:15:08.222000,15.8,75.0,1009.9,True,19.2,301,4.6,2025,1,Australian Grand Prix
0 days 01:16:08.255000,15.8,76.0,1009.9,False,19.2,263,3.0,2025,1,Australian Grand Prix
0 days 01:17:08.247000,15.8,75.0,1010.0,True,19.2,266,5.1,2025,1,Australian Grand Prix
0 days 01:18:08.264000,15.8,73.0,1009.9,True,19.2,270,4.9,2025,1,Australian Grand Prix
0 days 01:19:08.272000,15.8,74.0,1009.8,True,19.0,278,3.3,2025,1,Australian Grand Prix
0 days 01:20:08.262000,15.8,76.0,1009.9,True,19.0,273,3.9,2025,1,Australian Grand Prix
0 days 01:21:08.288000,15.8,76.0,1009.9,True,19.0,264,3.4,2025,1,Australian Grand Prix
0 days 01:22:08.307000,15.9,76.0,1010.1,True,19.0,260,3.5,2025,1,Australian Grand Prix
0 days 01:23:08.292000,15.8,76.0,1009.9,False,19.0,260,2.6,2025,1,Australian Grand Prix
0 days 01:24:08.292000,15.8,75.0,1010.0,False,19.0,265,3.9,2025,1,Australian Grand Prix
0 days 01:25:08.318000,15.8,75.0,1009.9,False,19.0,258,3.7,2025,1,Australian Grand Prix
0 days 01:26:08.297000,15.9,76.0,1010.0,False,19.0,262,3.3,2025,1,Australian Grand Prix
0 days 01:27:08.314000,15.9,75.0,1009.9,False,19.1,255,4.7,2025,1,Australian Grand Prix
0 days 01:28:08.322000,15.9,75.0,1009.8,False,19.1,241,4.5,2025,1,Australian Grand Prix
0 days 01:29:08.326000,15.9,76.0,1010.0,False,19.1,288,1.9,2025,1,Australian Grand Prix
0 days 01:30:08.352000,15.9,74.0,1009.9,False,19.1,209,3.4,2025,1,Australian Grand Prix
0 days 01:31:08.336000,15.9,74.0,1010.1,False,19.1,282,4.1,2025,1,Australian Grand Prix
0 days 01:32:08.336000,15.9,76.0,1010.0,False,19.1,253,2.5,2025,1,Australian Grand Prix
0 days 01:33:08.339000,15.9,74.0,1010.1,False,19.1,239,4.3,2025,1,Australian Grand Prix
0 days 01:34:08.349000,16.0,74.0,1010.2,False,19.1,259,3.6,2025,1,Australian Grand Prix
0 days 01:35:08.353000,16.0,75.0,1010.1,False,19.3,217,2.6,2025,1,Australian Grand Prix
0 days 01:36:08.381000,15.9,74.0,1010.0,False,19.3,240,3.1,2025,1,Australian Grand Prix
0 days 01:37:08.371000,16.0,75.0,1010.1,False,19.3,254,3.3,2025,1,Australian Grand Prix
0 days 01:38:08.397000,16.0,74.0,1010.1,True,19.3,175,3.4,2025,1,Australian Grand Prix
0 days 01:39:08.406000,16.0,75.0,1010.2,True,19.3,268,2.8,2025,1,Australian Grand Prix
0 days 01:40:08.441000,16.0,75.0,1009.9,False,19.3,250,2.3,2025,1,Australian Grand Prix
0 days 01:41:08.443000,16.0,73.0,1010.0,True,19.3,245,2.6,2025,1,Australian Grand Prix
0 days 01:42:08.455000,16.0,74.0,1010.0,True,19.3,268,2.2,2025,1,Australian Grand Prix
0 days 01:43:08.507000,16.1,74.0,1009.9,True,19.4,249,2.6,2025,1,Australian Grand Prix
0 days 01:44:08.517000,16.0,73.0,1010.2,True,19.4,282,3.8,2025,1,Australian Grand Prix
0 days 01:45:08.482000,16.0,74.0,1010.1,True,19.4,229,3.9,2025,1,Australian Grand Prix
0 days 01:46:08.482000,16.1,75.0,1010.2,True,19.4,273,1.9,2025,1,Australian Grand Prix
0 days 01:47:08.477000,16.0,74.0,1010.1,True,19.4,252,3.0,2025,1,Australian Grand Prix
0 days 01:48:08.464000,16.0,74.0,1010.1,True,19.4,278,3.7,2025,1,Australian Grand Prix
0 days 01:49:08.458000,16.0,75.0,1010.2,True,19.4,232,2.5,2025,1,Australian Grand Prix
0 days 01:50:08.480000,16.0,76.0,1010.3,True,19.2,242,3.8,2025,1,Australian Grand Prix
0 days 01:51:08.477000,15.9,75.0,1010.3,True,19.2,231,3.4,2025,1,Australian Grand Prix
0 days 01:52:08.471000,15.9,76.0,1010.2,True,19.2,283,2.4,2025,1,Australian Grand Prix
0 days 01:53:08.485000,15.9,76.0,1010.2,True,19.2,275,2.0,2025,1,Australian Grand Prix
0 days 01:54:08.482000,15.8,77.0,1010.1,False,19.2,257,2.6,2025,1,Australian Grand Prix
0 days 01:55:08.489000,15.7,75.0,1010.1,False,19.2,257,3.6,2025,1,Australian Grand Prix
0 days 01:56:08.487000,15.7,76.0,1010.1,False,19.2,257,3.7,2025,1,Australian Grand Prix
0 days 01:57:08.482000,15.7,78.0,1010.2,True,19.2,208,2.4,2025,1,Australian Grand Prix
0 days 01:58:08.485000,15.8,77.0,1010.2,False,19.2,270,3.1,2025,1,Australian Grand Prix
0 days 01:59:08.477000,15.7,77.0,1010.1,False,19.1,249,3.2,2025,1,Australian Grand Prix
0 days 02:00:08.483000,15.7,77.0,1010.2,False,19.1,229,2.5,2025,1,Australian Grand Prix
0 days 02:01:08.485000,15.7,78.0,1010.1,False,19.1,261,2.3,2025,1,Australian Grand Prix
0 days 02:02:08.518000,15.7,77.0,1010.1,False,19.1,250,2.7,2025,1,Australian Grand Prix
0 days 02:03:08.513000,15.7,77.0,1010.1,False,19.1,218,3.1,2025,1,Australian Grand Prix
0 days 02:04:08.525000,15.8,77.0,1010.1,False,19.1,256,2.5,2025,1,Australian Grand Prix
0 days 02:05:08.535000,15.8,77.0,1010.1,False,19.1,245,2.1,2025,1,Australian Grand Prix
0 days 02:06:08.539000,15.8,71.0,1010.1,False,19.1,248,4.4,2025,1,Australian Grand Prix
0 days 02:07:08.539000,15.9,71.0,1010.1,False,19.0,232,4.3,2025,1,Australian Grand Prix
0 days 02:08:08.578000,15.9,71.0,1009.8,False,19.0,267,1.2,2025,1,Australian Grand Prix
0 days 02:09:08.623000,16.1,71.0,1010.1,False,19.0,251,3.6,2025,1,Australian Grand Prix
0 days 02:10:08.634000,16.1,71.0,1010.1,False,19.0,296,2.9,2025,1,Australian Grand Prix
0 days 02:11:08.616000,16.1,70.0,1010.2,False,19.0,253,4.9,2025,1,Australian Grand Prix
0 days 02:12:08.619000,16.1,72.0,1010.2,False,19.0,267,2.5,2025,1,Australian Grand Prix
0 days 02:13:08.618000,16.1,71.0,1010.3,False,19.0,282,3.9,2025,1,Australian Grand Prix
0 days 02:14:08.621000,16.1,71.0,1010.3,False,19.2,259,3.7,2025,1,Australian Grand Prix
0 days 02:15:08.622000,16.2,70.0,1010.3,False,19.2,268,3.1,2025,1,Australian Grand Prix
0 days 02:16:08.623000,16.2,71.0,1010.3,False,19.2,239,3.3,2025,1,Australian Grand Prix
0 days 02:17:08.620000,16.3,71.0,1010.3,False,19.2,277,4.0,2025,1,Australian Grand Prix
0 days 02:18:08.651000,16.3,69.0,1010.3,False,19.2,253,3.2,2025,1,Australian Grand Prix
0 days 02:19:08.662000,16.3,68.0,1010.3,False,19.2,254,3.9,2025,1,Australian Grand Prix
0 days 02:20:08.661000,16.3,70.0,1010.3,False,19.2,258,3.5,2025,1,Australian Grand Prix
0 days 02:21:08.675000,16.4,69.0,1010.3,False,19.2,270,4.6,2025,1,Australian Grand Prix
0 days 02:22:08.662000,16.4,68.0,1009.8,False,19.2,265,3.7,2025,1,Australian Grand Prix
0 days 02:23:08.709000,16.4,68.0,1010.3,False,19.2,284,4.8,2025,1,Australian Grand Prix
0 days 02:24:08.722000,16.4,69.0,1010.3,False,19.3,255,3.6,2025,1,Australian Grand Prix
0 days 02:25:08.722000,16.5,70.0,1010.4,False,19.3,232,4.7,2025,1,Australian Grand Prix
0 days 02:26:08.699000,16.5,69.0,1010.4,False,19.3,262,3.9,2025,1,Australian Grand Prix
0 days 02:27:08.723000,16.6,68.0,1010.6,False,19.3,222,5.1,2025,1,Australian Grand Prix
0 days 02:28:08.726000,16.6,71.0,1010.7,False,19.3,280,2.2,2025,1,Australian Grand Prix
0 days 02:29:08.726000,16.6,75.0,1010.5,False,19.3,201,1.3,2025,1,Australian Grand Prix
0 days 02:30:08.727000,16.4,76.0,1010.4,True,19.3,166,2.5,2025,1,Australian Grand Prix
0 days 02:31:08.729000,16.1,77.0,1010.3,True,19.3,0,3.5,2025,1,Australian Grand Prix
0 days 02:32:08.706000,15.9,80.0,1010.3,True,19.3,141,1.4,2025,1,Australian Grand Prix
0 days 02:33:08.744000,15.7,80.0,1010.4,True,19.3,144,1.8,2025,1,Australian Grand Prix
0 days 02:34:08.743000,15.5,80.0,1010.4,True,19.3,132,2.1,2025,1,Australian Grand Prix
0 days 02:35:08.747000,15.3,80.0,1010.5,True,19.3,176,1.6,2025,1,Australian Grand Prix
0 days 02:36:08.760000,15.2,81.0,1010.5,True,18.8,166,1.3,2025,1,Australian Grand Prix
0 days 02:37:08.783000,15.1,81.0,1010.5,True,18.8,140,1.3,2025,1,Australian Grand Prix
0 days 02:38:08.787000,15.1,83.0,1010.6,True,18.8,238,0.7,2025,1,Australian Grand Prix
0 days 02:39:08.829000,15.1,82.0,1010.6,False,18.8,146,2.2,2025,1,Australian Grand Prix
0 days 02:40:08.828000,15.1,83.0,1010.6,False,18.8,96,1.3,2025,1,Australian Grand Prix
0 days 02:41:08.814000,15.1,83.0,1010.6,False,18.8,0,2.2,2025,1,Australian Grand Prix
0 days 02:42:08.857000,15.2,83.0,1010.6,False,18.8,196,1.5,2025,1,Australian Grand Prix
0 days 02:43:08.893000,15.1,81.0,1010.5,False,18.8,2,1.8,2025,1,Australian Grand Prix
0 days 02:44:08.874000,15.1,80.0,1010.7,False,18.8,139,1.5,2025,1,Australian Grand Prix
0 days 02:45:08.874000,15.1,78.0,1010.6,False,18.7,161,1.4,2025,1,Australian Grand Prix
0 days 02:46:08.966000,15.2,77.0,1010.4,False,18.7,161,1.6,2025,1,Australian Grand Prix
0 days 02:47:08.920000,15.4,77.0,1010.6,False,18.7,154,2.3,2025,1,Australian Grand Prix
0 days 02:48:08.921000,15.6,75.0,1010.6,False,18.7,228,2.6,2025,1,Australian Grand Prix
0 days 02:49:08.951000,15.8,76.0,1010.4,False,18.7,159,1.3,2025,1,Australian Grand Prix
0 days 02:50:08.980000,15.9,74.0,1010.5,False,18.7,199,1.5,2025,1,Australian Grand Prix
0 days 02:51:08.992000,16.0,71.0,1010.5,False,18.7,214,1.2,2025,1,Australian Grand Prix
0 days 02:52:08.996000,16.1,72.0,1010.4,False,18.7,156,0.8,2025,1,Australian Grand Prix
0 days 02:53:09.006000,16.1,72.0,1010.4,False,18.7,170,1.4,2025,1,Australian Grand Prix
0 days 02:54:09.025000,16.2,72.0,1010.6,False,18.7,216,2.4,2025,1,Australian Grand Prix
0 days 02:55:09.010000,16.2,71.0,1010.4,False,18.7,215,2.8,2025,1,Australian Grand Prix
0 days 02:56:09.020000,16.2,71.0,1010.4,False,18.7,215,2.8,2025,1,Australian Grand Prix
0 days 02:57:09.022000,16.2,71.0,1010.4,False,18.7,215,2.8,2025,1,Australian Grand Prix
0 days 00:00:44.889000,27.5,16.0,1011.2,False,42.2,230,2.7,2025,2,Chinese Grand Prix
0 days 00:01:44.889000,27.5,16.0,1011.3,False,42.2,258,2.6,2025,2,Chinese Grand Prix
0 days 00:02:44.910000,27.6,16.0,1011.3,False,42.5,244,2.1,2025,2,Chinese Grand Prix
0 days 00:03:44.920000,27.6,16.0,1011.3,False,42.6,254,2.1,2025,2,Chinese Grand Prix
0 days 00:04:44.942000,27.7,16.0,1011.3,False,42.7,248,3.3,2025,2,Chinese Grand Prix
0 days 00:05:44.940000,27.7,15.0,1011.4,False,42.9,247,3.2,2025,2,Chinese Grand Prix
0 days 00:06:44.941000,27.8,15.0,1011.2,False,43.0,256,2.4,2025,2,Chinese Grand Prix
0 days 00:07:44.960000,27.8,15.0,1011.2,False,43.0,242,1.9,2025,2,Chinese Grand Prix
0 days 00:08:44.960000,27.8,15.0,1011.2,False,43.0,229,1.5,2025,2,Chinese Grand Prix
0 days 00:09:44.942000,27.8,15.0,1011.1,False,43.0,250,0.9,2025,2,Chinese Grand Prix
0 days 00:10:44.944000,27.9,15.0,1011.1,False,42.5,232,0.7,2025,2,Chinese Grand Prix
0 days 00:11:44.951000,28.0,15.0,1011.3,False,42.4,233,1.5,2025,2,Chinese Grand Prix
0 days 00:12:44.966000,28.1,15.0,1011.2,False,42.5,261,2.1,2025,2,Chinese Grand Prix
0 days 00:13:44.963000,28.1,15.0,1011.2,False,42.7,240,2.2,2025,2,Chinese Grand Prix
0 days 00:14:44.956000,28.1,15.0,1011.1,False,42.7,239,1.4,2025,2,Chinese Grand Prix
0 days 00:15:44.965000,28.0,14.0,1011.1,False,42.7,237,2.7,2025,2,Chinese Grand Prix
0 days 00:16:44.965000,27.9,15.0,1011.0,False,42.4,237,2.3,2025,2,Chinese Grand Prix
0 days 00:17:44.949000,27.7,15.0,1011.0,False,42.4,253,2.2,2025,2,Chinese Grand Prix
0 days 00:18:44.963000,27.8,15.0,1011.0,False,41.9,265,1.9,2025,2,Chinese Grand Prix
0 days 00:19:44.968000,27.7,15.0,1011.0,False,41.8,239,2.2,2025,2,Chinese Grand Prix
0 days 00:20:44.968000,27.7,15.0,1011.0,False,41.2,220,2.1,2025,2,Chinese Grand Prix
0 days 00:21:44.971000,27.8,15.0,1010.9,False,40.5,222,2.0,2025,2,Chinese Grand Prix
0 days 00:22:44.969000,27.8,15.0,1010.9,False,40.2,240,2.8,2025,2,Chinese Grand Prix
0 days 00:23:44.968000,27.7,16.0,1010.8,False,39.9,237,2.4,2025,2,Chinese Grand Prix
0 days 00:24:44.968000,27.6,16.0,1010.9,False,39.9,235,2.3,2025,2,Chinese Grand Prix
0 days 00:25:44.988000,27.6,16.0,1010.8,False,40.2,247,2.2,2025,2,Chinese Grand Prix
0 days 00:26:45.013000,27.6,16.0,1010.8,False,40.2,252,2.1,2025,2,Chinese Grand Prix
0 days 00:27:45.008000,27.5,16.0,1010.9,False,39.4,235,2.9,2025,2,Chinese Grand Prix
0 days 00:28:45.009000,27.6,16.0,1010.8,False,38.9,249,2.3,2025,2,Chinese Grand Prix
0 days 00:29:45.025000,27.6,16.0,1010.7,False,38.6,248,1.6,2025,2,Chinese Grand Prix
0 days 00:30:45.025000,27.5,16.0,1010.8,False,38.6,239,2.7,2025,2,Chinese Grand Prix
0 days 00:31:45.042000,27.4,16.0,1010.8,False,38.5,244,2.7,2025,2,Chinese Grand Prix
0 days 00:32:45.040000,27.2,17.0,1010.7,False,38.5,266,2.3,2025,2,Chinese Grand Prix
0 days 00:33:45.057000,27.2,17.0,1010.8,False,38.5,249,2.4,2025,2,Chinese Grand Prix
0 days 00:34:45.065000,27.3,17.0,1010.8,False,38.3,244,2.3,2025,2,Chinese Grand Prix
0 days 00:35:45.069000,27.3,17.0,1010.8,False,38.2,258,2.5,2025,2,Chinese Grand Prix
0 days 00:36:45.068000,27.3,17.0,1010.7,False,38.0,245,2.1,2025,2,Chinese Grand Prix
0 days 00:37:45.074000,27.3,17.0,1010.7,False,37.9,280,2.2,2025,2,Chinese Grand Prix
0 days 00:38:45.074000,27.3,17.0,1010.6,False,37.8,244,2.8,2025,2,Chinese Grand Prix
0 days 00:39:45.078000,27.2,18.0,1010.6,False,37.8,234,1.3,2025,2,Chinese Grand Prix
0 days 00:40:45.078000,27.1,18.0,1010.6,False,37.7,257,1.0,2025,2,Chinese Grand Prix
0 days 00:41:45.082000,27.3,17.0,1010.6,False,37.2,231,1.6,2025,2,Chinese Grand Prix
0 days 00:42:45.107000,27.4,18.0,1010.5,False,37.2,240,1.8,2025,2,Chinese Grand Prix
0 days 00:43:45.120000,27.4,17.0,1010.5,False,37.2,246,1.9,2025,2,Chinese Grand Prix
0 days 00:44:45.108000,27.4,17.0,1010.6,False,36.8,252,1.7,2025,2,Chinese Grand Prix
0 days 00:45:45.122000,27.4,17.0,1010.6,False,37.4,268,2.2,2025,2,Chinese Grand Prix
0 days 00:46:45.105000,27.4,17.0,1010.5,False,37.5,280,3.3,2025,2,Chinese Grand Prix
0 days 00:47:45.106000,27.4,17.0,1010.6,False,37.4,234,2.9,2025,2,Chinese Grand Prix
0 days 00:48:45.106000,27.3,17.0,1010.5,False,37.4,260,2.2,2025,2,Chinese Grand Prix
0 days 00:49:45.112000,27.2,17.0,1010.6,False,37.4,251,3.0,2025,2,Chinese Grand Prix
0 days 00:50:45.110000,27.3,17.0,1010.5,False,37.3,251,4.0,2025,2,Chinese Grand Prix
0 days 00:51:45.108000,27.3,17.0,1010.5,False,37.2,241,3.1,2025,2,Chinese Grand Prix
0 days 00:52:45.130000,27.3,17.0,1010.4,False,36.8,249,2.9,2025,2,Chinese Grand Prix
0 days 00:53:45.115000,27.3,17.0,1010.5,False,35.0,240,2.7,2025,2,Chinese Grand Prix
0 days 00:54:45.111000,27.3,18.0,1010.4,False,36.1,238,2.6,2025,2,Chinese Grand Prix
0 days 00:55:45.114000,27.3,18.0,1010.4,False,36.1,242,2.1,2025,2,Chinese Grand Prix
0 days 00:56:45.132000,27.3,18.0,1010.3,False,36.0,272,2.0,2025,2,Chinese Grand Prix
0 days 00:57:45.112000,27.3,18.0,1010.4,False,35.9,257,1.7,2025,2,Chinese Grand Prix
0 days 00:58:45.115000,27.3,18.0,1010.4,False,35.9,261,1.8,2025,2,Chinese Grand Prix
0 days 00:59:45.130000,27.3,18.0,1010.4,False,35.8,249,1.8,2025,2,Chinese Grand Prix
0 days 01:00:45.122000,27.3,18.0,1010.4,False,35.6,264,2.2,2025,2,Chinese Grand Prix
0 days 01:01:45.117000,27.4,18.0,1010.4,False,35.6,233,2.7,2025,2,Chinese Grand Prix
0 days 01:02:45.128000,27.4,18.0,1010.4,False,35.5,254,2.9,2025,2,Chinese Grand Prix
0 days 01:03:45.121000,27.3,18.0,1010.4,False,35.1,259,3.0,2025,2,Chinese Grand Prix
0 days 01:04:45.134000,27.3,18.0,1010.4,False,35.0,258,3.0,2025,2,Chinese Grand Prix
0 days 01:05:45.159000,27.4,18.0,1010.3,False,35.0,243,3.0,2025,2,Chinese Grand Prix
0 days 01:06:45.188000,27.3,18.0,1010.3,False,34.9,238,2.0,2025,2,Chinese Grand Prix
0 days 01:07:45.191000,27.3,18.0,1010.3,False,34.9,0,2.4,2025,2,Chinese Grand Prix
0 days 01:08:45.209000,27.3,18.0,1010.3,False,35.0,252,1.8,2025,2,Chinese Grand Prix
0 days 01:09:45.219000,27.3,18.0,1010.2,False,35.0,207,1.2,2025,2,Chinese Grand Prix
0 days 01:10:45.225000,27.4,18.0,1010.2,False,35.3,257,2.1,2025,2,Chinese Grand Prix
0 days 01:11:45.244000,27.4,18.0,1010.3,False,35.4,248,1.0,2025,2,Chinese Grand Prix
0 days 01:12:45.243000,27.5,17.0,1010.3,False,35.4,244,2.8,2025,2,Chinese Grand Prix
0 days 01:13:45.245000,27.5,18.0,1010.3,False,35.3,216,2.3,2025,2,Chinese Grand Prix
0 days 01:14:45.262000,27.5,18.0,1010.2,False,35.3,252,2.2,2025,2,Chinese Grand Prix
0 days 01:15:45.264000,27.5,17.0,1010.3,False,35.0,179,3.2,2025,2,Chinese Grand Prix
0 days 01:16:45.263000,27.5,18.0,1010.3,False,35.0,237,1.9,2025,2,Chinese Grand Prix
0 days 01:17:45.259000,27.6,17.0,1010.2,False,34.6,252,2.7,2025,2,Chinese Grand Prix
0 days 01:18:45.265000,27.6,18.0,1010.2,False,34.5,248,1.9,2025,2,Chinese Grand Prix
0 days 01:19:45.264000,27.5,18.0,1010.2,False,34.4,239,2.3,2025,2,Chinese Grand Prix
0 days 01:20:45.266000,27.4,18.0,1010.2,False,34.4,253,3.0,2025,2,Chinese Grand Prix
0 days 01:21:45.267000,27.4,18.0,1010.2,False,34.2,245,2.8,2025,2,Chinese Grand Prix
