Season,RoundNumber,RaceName,Driver,Team,NumPitStops,GridPosition_Est,AvgEarlyPace,PaceStdDev,TireDegSlope,AvgAirTemp,AvgTrackTemp,AvgHumidity,RainDetected,StartTyre_HARD,StartTyre_INTERMEDIATE,StartTyre_MEDIUM,StartTyre_SOFT
2025,1,Australian Grand Prix,GAS,Alpine,5,9.0,96.67666666666666,1.551196419971803,-1.4570000000000007,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,ALO,Aston Martin,3,10.0,96.73,1.4490800529991426,-1.3924999999999983,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,STR,Aston Martin,5,11.0,96.68566666666668,1.8014006587467806,-1.7620000000000005,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,HAM,Ferrari,5,8.0,96.55333333333333,1.624530804058004,-1.6020000000000039,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,LEC,Ferrari,5,5.0,95.55399999999999,2.386876829666748,-2.325499999999998,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,BEA,Haas F1 Team,5,17.0,99.00966666666666,2.8477756817090314,-2.8215000000000003,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,OCO,Haas F1 Team,5,15.0,98.34833333333334,2.040533345312773,-2.024000000000001,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,BOR,Kick Sauber,5,14.0,97.51766666666667,2.4352086837339706,-2.3200000000000003,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,HUL,Kick Sauber,5,12.0,96.83766666666666,1.9779611556684686,-1.957500000000003,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,NOR,McLaren,5,1.0,94.34866666666666,2.089081456844935,-2.074000000000005,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,PIA,McLaren,5,3.0,94.83366666666666,2.300181369660521,-2.289500000000004,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,ANT,Mercedes,5,13.0,96.77033333333333,1.7744639566171354,-1.7295000000000014,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,RUS,Mercedes,5,4.0,95.428,2.172339982599406,-2.1184999999999974,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
2025,1,Australian Grand Prix,TSU,Racing Bulls,5,6.0,96.10199999999999,2.102956728037926,-2.015499999999996,15.707865168539326,18.942134831460674,78.42134831460675,True,False,True,False,False
